	GSM1194697	GSM1194698	GSM1194699
ACOX2	5	15	0
ACOX3	30	136	40
ACOXL	55	33	34
ACP1	396	689	351
ACP2	503	653	43
ACP5	117	28	53
ACP6	769	454	203
ACP7	50	24	21
ENSG00000283539	0	0	0
ACRBP	1	0	0
ACRV1	1	1	3
ACSBG1	93	183	56
ACSBG2	0	0	13
ACSF2	734	491	223
ACSF3	274	181	157
ACSL1	432	1010	122
ACSL3	1278	1525	450
ACSL4	1074	707	247
ACSL5	421	1008	117
ACSL6	65	51	48
ACSM1	7	0	0
ACSM2A	137	232	45
ACSM2B	42	40	73
ACSM3	106	69	90
ACSM4	0	0	0
ACSM5	3	0	1
ENSG00000260762	0	0	0
ACSM6	106	2	59
ACSS1	67	86	82
ACSS2	686	1048	257
ACSS3	12	6	5
ACTA1	2	0	11
ACTA2	139	242	77
ACTB	49624	68968	25983
ACTBL2	0	0	0
ENSG00000229145	5	4	1
ENSG00000188460	7	14	0
ENSG00000233125	0	0	0
ENSG00000229001	0	0	0
ENSG00000213763	5	2	1
ENSG00000203413	0	0	0
ENSG00000185607	2	5	0
ENSG00000220267	4	2	3
ENSG00000266920	3	11	0
ACTC1	0	0	0
ACTG1	6476	8114	3245
ENSG00000178631	0	0	0
ENSG00000231340	5	1	0
ENSG00000229465	0	1	0
ENSG00000226642	0	0	1
ENSG00000241305	0	0	0
ENSG00000230581	2	5	1
ENSG00000259904	12	2	0
ENSG00000260298	0	0	1
ENSG00000259315	51	41	17
ENSG00000218475	0	0	0
ENSG00000237999	1	0	0
ENSG00000229129	0	1	0
ENSG00000241547	2	2	30
ENSG00000232672	0	3	5
ENSG00000271615	0	0	0
ENSG00000230362	2	3	2
ENSG00000226359	1	2	0
ENSG00000215388	0	20	0
ENSG00000236085	3	0	0
ENSG00000229349	38	35	36
ACTG2	124	170	47
ACTL10	2	0	0
ACTL6A	275	296	88
ACTL6B	0	0	0
ACTL7A	0	0	0
ACTL7B	0	0	0
ACTL8	0	0	0
ACTL9	0	0	0
ACTN1	2417	3135	1231
ACTN2	0	1	0
ACTN3	0	0	0
ENSG00000282844	3242	3168	1996
ENSG00000213493	5	0	1
ENSG00000214141	0	0	0
ENSG00000229890	0	0	0
ACTR10	608	887	225
ACTR1A	564	926	243
ACTR1B	540	588	459
ACTR2	1773	2421	466
ACTR3	2116	3037	1531
ACTR3B	106	34	61
ENSG00000270242	0	0	0
ENSG00000226481	0	0	0
ENSG00000260327	0	0	0
ENSG00000249283	0	0	0
ENSG00000227264	0	0	0
ENSG00000288272	0	0	0
ACTR3C	441	154	428
ENSG00000232267	0	0	0
ENSG00000242573	0	0	0
ACTR5	81	71	14
ACTR6	85	208	185
ENSG00000248915	0	0	0
ACTR8	20	87	32
ACTRT1	0	0	0
ACTRT2	0	0	0
ACTRT3	0	0	41
ACVR1	710	1552	546
ACVR1B	1113	403	1014
ACVR1C	129	625	73
ACVR2A	241	286	104
ACVR2B	245	117	166
ACVRL1	11	16	26
ACY1	133	100	212
ACY3	5	0	1
ACYP1	99	17	61
ACYP2	100	203	50
ADA	44	0	43
ADAD1	0	0	0
ENSG00000267511	10	0	0
ADAD2	85	17	7
ADAL	78	58	46
ADAM10	3775	3731	2747
ADAM11	0	0	0
ADAM12	135	421	30
ADAM15	315	148	159
ADAM17	935	876	661
ENSG00000278548	0	0	0
ADAM19	108	208	257
ENSG00000229186	0	0	0
ENSG00000226469	139	36	56
ENSG00000276286	0	0	0
ADAM20	1	0	0
ENSG00000259158	4	4	0
ENSG00000248574	0	0	0
ENSG00000249162	0	0	0
ADAM21	0	0	0
ENSG00000235812	0	0	0
ADAM22	55	6	6
ADAM23	43	32	1
ENSG00000214607	0	0	0
ADAM28	777	335	228
ADAM29	32	30	44
ADAM30	0	0	0
ENSG00000275594	638	550	511
ADAM33	11	0	50
ENSG00000197475	28	23	6
ENSG00000260089	0	0	0
ENSG00000196115	0	0	0
ENSG00000282626	0	0	0
ADAM7	0	0	0
ADAM8	300	773	694
ENSG00000282230	3208	4823	1798
ADAMDEC1	9	8	3
ADAMTS1	83	57	105
ADAMTS10	0	0	0
ENSG00000281690	34	123	85
ENSG00000281244	12	0	0
ADAMTS14	23	21	34
ADAMTS15	12	1	0
ADAMTS16	32	19	4
ADAMTS17	9	5	1
ADAMTS18	3	0	18
ADAMTS19	0	0	0
ENSG00000283802	18	24	205
ADAMTS20	11	0	0
ADAMTS3	8	0	1
ADAMTS4	220	566	229
ADAMTS5	0	0	0
ADAMTS6	0	0	1
ADAMTS7	17	2	0
ENSG00000281976	0	0	2
ENSG00000261143	1	0	0
ENSG00000218052	12	16	5
ADAMTS8	1	0	1
ADAMTS9	56	4	5
ADAMTSL1	2	1	2
ADAMTSL2	47	14	16
ADAMTSL3	3241	3082	2468
ADAMTSL4	49	45	95
ADAMTSL5	19	9	8
ADAP1	22	21	5
ADAP2	34	41	4
ADAR	5687	6750	3265
ADARB1	101	186	13
ADARB2	15	19	18
ADAT1	152	279	42
ADAT2	110	17	73
ADAT3	0	0	0
ADCK1	171	230	225
ADCK2	46	119	0
ENSG00000285451	155	89	0
ADCY1	57	4	25
ADCY10	0	0	0
ENSG00000161912	12	90	28
ADCY2	116	132	94
ADCY3	55	85	131
ENSG00000284814	15	11	25
ADCY5	11	0	0
ADCY6	158	124	32
ADCY7	84	44	53
ADCY8	0	0	1
ADCY9	740	1214	567
ADCYAP1	0	0	0
ADCYAP1R1	2	2	3
ADD1	647	1250	295
ADD2	60	74	93
ADD3	1680	1393	1328
ADGB	29	35	22
ADGRA1	0	0	0
ADGRA2	10	2	2
ADGRA3	1024	538	492
ADGRB1	0	0	0
ADGRB2	16	1	24
ADGRB3	0	0	0
ADGRD1	45	103	65
ADGRD2	93	83	54
ADGRE1	91	5	0
ADGRE2	359	226	586
ADGRE3	93	60	50
ENSG00000268758	7	3	4
ADGRE5	141	34	135
ADGRF1	1097	453	299
ENSG00000164393	16	91	3
ADGRF3	19	0	0
ADGRF4	333	1284	26
ADGRF5	91	6	24
ENSG00000227582	0	3	0
ENSG00000204818	0	0	0
ADGRG1	2233	2576	898
ADGRG2	127	150	81
ADGRG3	202	75	411
ADGRG4	1	15	9
ADGRG5	0	0	0
ADGRG6	88	32	11
ADGRG7	0	0	0
ENSG00000288324	13	0	11
ADGRL2	60	635	70
ADGRL3	2	0	0
ADGRL4	7	0	1
ADGRV1	38	13	40
ADH1A	26	0	0
ADH1B	158	45	83
ADH1C	140	0	9
ADH4	114	122	112
ADH5	922	1420	453
ENSG00000232676	0	0	0
ENSG00000223694	0	0	0
ENSG00000277364	0	0	0
ADH6	81	245	32
ADH7	672	535	249
ADHFE1	65	78	41
ENSG00000280830	1193	1666	507
ADIG	0	0	0
ADIPOQ	50	111	55
ADIPOR1	2848	2364	971
ENSG00000232497	0	2	0
ENSG00000258805	0	0	0
ENSG00000285070	268	391	186
ADIRF	477	410	256
ADK	611	369	185
ADM	457	1163	388
ADM2	81	146	4
ADM5	0	0	9
ADNP	6214	6136	2868
ADNP2	587	875	326
ADO	191	273	46
ADORA1	0	2	0
ADORA2A	0	0	0
ADORA2B	327	771	54
ENSG00000236136	0	0	0
ADORA3	34	30	0
ADPGK	658	802	203
ADPRH	2	21	7
ADPRHL1	18	5	18
ADPRM	50	10	17
ADRA1A	64	78	18
ADRA1B	0	0	0
ADRA1D	0	0	0
ADRA2A	0	0	0
ADRA2B	0	38	0
ADRA2C	0	0	0
ADRB1	71	1	3
ADRB2	4	26	12
ADRB3	5	14	12
ADRM1	581	791	282
ADSL	323	599	194
ADTRP	19	3	24
AEBP1	140	385	169
AEBP2	1012	1290	946
AEN	140	87	223
AFAP1	437	280	44
AFAP1L1	60	56	5
AFAP1L2	419	321	1105
AFF1	3380	1708	1729
AFF2	96	100	38
AFF3	78	60	77
AFF4	2868	3305	1355
ENSG00000223959	326	223	155
AFG3L2	341	377	194
ENSG00000253606	0	0	0
AFM	0	0	0
AFMID	280	210	179
AFP	8	0	0
AFTPH	1275	1386	1254
AGA	80	245	96
AGAP1	532	909	246
ENSG00000230869	5	89	6
ENSG00000288424	51	145	19
ENSG00000243289	9	38	0
ENSG00000279058	0	0	10
AGAP2	3	0	0
AGAP3	230	666	100
AGAP4	180	81	29
AGAP5	73	53	7
AGAP6	422	276	983
ENSG00000264204	11	0	7
AGAP9	117	213	27
AGBL1	38	19	32
ENSG00000285501	145	124	21
AGBL3	21	27	16
AGBL4	60	33	27
AGBL5	467	734	185
ENSG00000230514	0	546	7
AGFG1	1289	2209	1109
AGFG2	67	86	19
AGGF1	260	180	83
ENSG00000214273	4	0	1
ENSG00000282968	0	0	0
ENSG00000233435	2	0	0
ENSG00000241532	0	0	0
ENSG00000261689	0	0	0
ENSG00000260680	0	0	0
ENSG00000259836	0	0	0
ENSG00000260994	0	0	0
ENSG00000261752	0	2	0
ENSG00000260427	0	0	0
ENSG00000262327	347	557	334
ENSG00000226555	78	4	16
AGL	651	741	345
AGMAT	35	33	34
AGMO	18	24	9
AGO1	532	744	508
AGO2	2485	1722	773
AGO3	1758	1222	859
AGO4	311	278	227
ENSG00000236873	447	307	272
AGPAT2	112	26	5
AGPAT3	366	105	232
AGPAT4	82	79	36
ENSG00000284980	113	198	51
ENSG00000234652	0	0	0
AGPS	602	761	176
AGR2	4248	5601	904
AGR3	36	5	9
AGRN	1175	1082	448
AGRP	0	0	0
AGT	0	0	0
AGTPBP1	40	52	29
AGTR1	0	0	0
AGTR2	0	0	0
AGTRAP	154	330	192
AGXT	47	37	27
AGXT2	0	0	0
AHCTF1	1856	1536	978
AHCY	613	298	231
AHCYL1	1476	1592	872
AHCYL2	277	766	98
ENSG00000238181	0	0	0
ENSG00000233955	0	0	0
ENSG00000232992	0	0	0
ENSG00000213107	0	0	0
ENSG00000259465	1	0	0
ENSG00000242529	0	0	0
AHDC1	152	55	51
AHI1	391	1129	410
AHNAK	14217	12365	6054
AHNAK2	6782	6520	2241
AHR	10240	9782	4670
AHRR	10	1	30
AHSA1	353	661	145
AHSG	8	0	0
AHSP	0	0	0
AICDA	56	85	35
AIDA	972	1664	474
ENSG00000235588	22	358	106
AIF1L	32	0	0
AIFM1	147	274	101
ENSG00000225509	0	0	0
AIFM2	81	84	84
AIFM3	6	0	1
AIG1	658	526	600
ENSG00000249089	0	0	0
AIM2	7	10	8
AIMP1	618	1180	166
ENSG00000234187	22	0	0
ENSG00000227177	0	0	0
AIMP2	24	33	42
AIP	151	70	31
AIPL1	25	19	7
AIRE	13	0	21
AJAP1	4	8	17
AJUBA	405	556	224
AK1	75	29	48
AK2	1977	2819	904
ENSG00000242272	0	0	0
AK3	282	190	151
ENSG00000282669	0	0	0
ENSG00000230042	4	5	0
ENSG00000248722	0	0	0
ENSG00000228816	6	17	12
AK4	429	1584	76
ENSG00000263535	0	0	0
ENSG00000249410	0	0	0
ENSG00000233381	0	0	0
ENSG00000223621	0	0	0
ENSG00000217377	0	0	0
ENSG00000235606	0	0	0
AK5	22	86	8
ENSG00000279247	10	16	12
ENSG00000256614	0	0	0
ENSG00000257173	0	0	0
AK7	125	36	15
AK8	0	0	1
AK9	67	100	31
AKAIN1	0	0	0
AKAP1	568	1106	330
AKAP10	257	586	319
AKAP11	947	608	1298
AKAP12	562	476	355
AKAP13	3235	6037	1893
AKAP14	0	0	0
AKAP17A	167	396	42
ENSG00000214992	0	0	0
AKAP3	11	93	0
AKAP4	0	0	0
AKAP5	178	147	141
AKAP6	50	107	53
AKAP7	58	6	43
AKAP8	377	298	99
AKAP8L	204	27	33
ENSG00000234146	0	0	24
AKAP9	3210	4504	2463
AKIP1	159	128	142
AKIRIN1	605	250	609
ENSG00000257786	0	0	0
ENSG00000228125	0	0	2
AKIRIN2	503	302	379
ENSG00000251482	0	0	0
AKNA	244	164	117
AKNAD1	17	10	22
AKR1A1	481	844	343
AKR1B1	619	140	131
AKR1B10	187	44	26
ENSG00000213606	0	0	0
ENSG00000263355	2	0	3
AKR1B15	423	184	312
ENSG00000229991	0	0	0
ENSG00000213452	1	0	0
ENSG00000237876	0	0	0
ENSG00000225212	0	0	0
ENSG00000266899	0	0	0
ENSG00000231371	0	0	0
AKR1C1	1381	393	308
AKR1C2	4833	5176	1044
AKR1C3	1269	759	367
AKR1C4	24	0	0
ENSG00000225418	0	0	1
ENSG00000151631	0	0	0
ENSG00000215267	33	0	5
AKR1C8	0	0	0
AKR1D1	38	35	32
ENSG00000227776	0	0	0
AKR1E2	102	67	42
AKR7A2	205	38	46
ENSG00000280751	0	0	0
AKR7A3	0	0	0
AKR7L	24	7	8
AKT1	1281	580	258
AKT1S1	428	377	56
AKT2	1232	862	1312
ENSG00000275199	82	207	199
AKTIP	165	118	115
ALAD	88	75	95
ALAS1	103	472	72
ALAS2	0	0	0
ALB	1	0	0
ALCAM	3186	4998	895
ALDH16A1	635	366	116
ALDH18A1	292	672	233
ALDH1A1	428	81	191
ALDH1A2	57	15	15
ALDH1A3	1754	1757	294
ALDH1B1	173	90	55
ALDH1L1	75	56	85
ALDH1L2	159	805	295
ALDH2	1118	640	595
ALDH3A1	7	0	0
ALDH3A2	514	2318	88
ALDH3B1	88	141	43
ALDH3B2	153	50	38
ALDH4A1	185	147	80
ALDH5A1	75	15	154
ALDH6A1	808	501	298
ALDH7A1	471	441	339
ENSG00000251400	0	0	0
ENSG00000232292	0	0	0
ENSG00000243853	0	0	0
ENSG00000234489	0	0	0
ALDH8A1	27	30	9
ALDH9A1	167	183	24
ALDOA	2307	2104	682
ENSG00000242849	1	0	0
ENSG00000214297	0	2	0
ALDOB	0	108	1
ALDOC	133	56	95
ALG1	114	168	123
ALG10	74	70	24
ALG10B	174	233	254
ALG11	411	209	175
ALG12	242	320	187
ALG13	929	849	411
ALG14	424	281	199
ENSG00000189366	15	0	12
ENSG00000254016	0	0	5
ENSG00000249889	0	0	0
ENSG00000250794	0	0	0
ENSG00000285027	1	0	0
ENSG00000250268	0	0	0
ENSG00000242017	0	0	0
ALG1L2	24	0	11
ENSG00000251087	0	0	0
ENSG00000226943	0	0	0
ENSG00000288161	0	0	0
ENSG00000251271	0	0	0
ENSG00000227620	0	0	0
ENSG00000254978	21	111	0
ALG2	509	203	57
ALG3	738	634	389
ENSG00000251568	4	0	0
ALG5	58	77	132
ALG6	73	70	34
ALG8	587	763	463
ALG9	323	353	303
ALK	17	6	5
ALKBH1	193	166	129
ALKBH2	58	111	23
ALKBH3	57	444	14
ALKBH4	46	16	10
ALKBH5	355	273	42
ALKBH6	172	138	25
ALKBH7	91	61	12
ALKBH8	129	10	36
ALLC	0	0	0
ALMS1	5068	5453	2877
ENSG00000163016	5	2	0
ALOX12	16	0	319
ALOX12B	0	0	0
ENSG00000264958	0	0	0
ENSG00000262943	202	424	256
ALOX15	1237	621	292
ALOX15B	139	874	26
ENSG00000188101	13	0	0
ENSG00000275565	28	4	24
ALOX5AP	284	108	84
ALOXE3	0	0	0
ALPI	0	0	0
ALPK1	560	276	157
ALPK2	7	12	239
ALPK3	1	21	0
ALPL	212	298	8
ALPP	3	7	3
ALS2	402	221	526
ALS2CL	263	102	116
ALX1	0	0	0
ALX3	0	0	25
ALX4	0	2	0
ALYREF	30	10	90
AMACR	229	421	56
AMBN	0	0	0
AMBP	3	0	0
AMBRA1	226	307	181
AMD1	665	762	247
ENSG00000228339	0	0	0
ENSG00000237801	0	0	0
ENSG00000249286	2	0	0
ENSG00000215124	24	19	29
AMDHD1	1	18	0
AMDHD2	54	92	1
AMELX	0	0	0
AMELY	4	0	0
AMER1	162	69	3
AMER2	33	34	7
AMER3	17	22	15
AMFR	546	617	438
AMH	0	0	0
AMHR2	0	0	0
AMIGO1	68	1	4
AMIGO2	456	1043	208
AMIGO3	0	0	0
AMMECR1	312	425	116
AMMECR1L	236	131	67
ENSG00000233273	0	1	0
AMN	19	93	0
AMN1	226	216	90
AMOT	72	0	24
AMOTL1	258	359	293
AMOTL2	432	318	55
AMPD1	0	0	0
AMPD2	83	49	330
AMPD3	832	390	334
AMPH	3	13	21
AMT	51	99	88
AMTN	51	249	115
AMY1A	6	4	3
AMY1B	6	1	3
AMY1C	0	0	0
AMY2A	0	0	0
AMY2B	116	26	46
ENSG00000227408	0	0	0
AMZ1	61	8	24
AMZ2	683	508	490
ENSG00000214174	145	13	26
ENSG00000219249	1	0	0
ANAPC1	1147	2494	710
ANAPC10	209	273	100
ENSG00000213735	1	0	0
ANAPC11	734	1168	79
ANAPC13	158	524	68
ANAPC15	201	206	135
ANAPC16	963	1322	456
ENSG00000233673	18	44	23
ANAPC2	21	1	3
ANAPC4	291	179	130
ANAPC5	1033	1422	658
ANAPC7	555	1148	522
ANG	4	0	0
ANGEL1	387	566	265
ANGEL2	290	223	458
ANGPT1	15	54	2
ANGPT2	214	63	86
ANGPT4	25	12	24
ANGPTL1	159	348	57
ANGPTL2	427	906	22
ANGPTL3	24	104	68
ANGPTL4	24	58	0
ANGPTL5	2	0	0
ANGPTL6	0	0	0
ANGPTL7	45	717	30
ANGPTL8	10	0	0
ANHX	0	0	0
ANK1	341	10	1
ANK2	7	35	11
ANK3	2404	941	1033
ANKAR	70	275	71
ANKDD1A	235	95	178
ANKDD1B	5	0	2
ANKEF1	110	148	169
ANKFN1	0	0	0
ANKFY1	1067	883	543
ANKH	554	667	332
ANKHD1	1453	2936	622
ANKHD1-EIF4EBP3	173	9	297
ANKIB1	1753	1622	1012
ANKK1	25	35	23
ANKLE1	42	105	59
ANKLE2	1628	1417	1827
ANKMY1	80	21	109
ANKMY2	235	129	34
ANKRA2	204	1893	41
ANKRD1	1	68	29
ANKRD10	401	563	199
ANKRD11	983	1188	846
ANKRD12	2074	2439	1086
ANKRD13A	1010	1136	904
ANKRD13B	1	0	0
ANKRD13C	332	467	407
ANKRD13D	351	211	111
ANKRD16	106	265	19
ANKRD17	4327	4895	1633
ANKRD18A	270	8	96
ANKRD18B	245	72	211
ENSG00000159712	2	0	2
ENSG00000281617	2	0	0
ENSG00000217165	152	10	43
ENSG00000187984	27	41	25
ANKRD2	19	3	0
ANKRD20A1	71	111	4
ENSG00000226695	3	68	0
ENSG00000215559	9	0	0
ENSG00000251056	3	2	0
ENSG00000249493	1	0	0
ENSG00000196593	176	130	38
ENSG00000186481	198	20	13
ENSG00000236816	0	0	0
ENSG00000229089	51	5	19
ENSG00000282715	12	2	0
ANKRD22	271	589	62
ANKRD23	53	111	1
ANKRD24	0	0	0
ANKRD26	349	516	97
ENSG00000261239	0	0	0
ENSG00000235550	0	0	0
ENSG00000237636	0	0	0
ENSG00000229427	0	0	0
ANKRD27	412	953	160
ANKRD28	401	231	162
ANKRD29	167	514	114
ANKRD30A	0	0	0
ANKRD30B	38	34	18
ANKRD30BL	29	14	4
ENSG00000175302	0	0	0
ENSG00000224309	21	21	19
ENSG00000275985	0	0	0
ANKRD31	38	18	1
ANKRD33	0	0	0
ANKRD33B	14	1	6
ANKRD34A	0	0	0
ANKRD34B	48	0	12
ANKRD34C	0	0	3
ANKRD35	8	26	107
ANKRD36	636	1026	136
ANKRD36B	815	1558	305
ENSG00000214262	80	0	0
ENSG00000230006	343	410	225
ANKRD36C	1005	1204	326
ENSG00000188399	0	0	0
ANKRD37	406	774	190
ANKRD39	131	198	68
ANKRD40	1043	674	598
ANKRD42	58	133	78
ANKRD44	108	37	94
ANKRD45	32	47	31
ANKRD46	404	105	43
ANKRD49	204	197	74
ANKRD50	2651	2533	1662
ANKRD52	569	157	224
ANKRD53	0	0	0
ANKRD54	286	99	46
ENSG00000236442	0	0	0
ANKRD55	5	5	1
ANKRD6	622	698	407
ANKRD60	0	0	0
ANKRD61	95	0	0
ANKRD62	24	47	60
ENSG00000259271	0	0	0
ANKRD63	0	0	0
ANKRD65	194	425	37
ANKRD66	0	0	0
ANKRD7	11	12	0
ANKRD9	232	210	93
ANKS1A	304	590	225
ANKS1B	47	16	52
ANKS3	66	53	88
ENSG00000284290	63	111	58
ANKS6	127	44	81
ANKUB1	40	21	414
ANKZF1	432	1113	417
ANLN	1496	1291	432
ANO1	17	63	48
ANO10	137	56	22
ANO2	8	0	0
ANO3	0	0	0
ENSG00000262139	0	0	0
ANO5	0	0	1
ANO6	698	872	728
ANO7	4	4	2
ANO8	6	97	12
ANO9	56	26	56
ANOS1	973	611	387
ENSG00000241859	41	21	9
ANP32A	949	978	425
ENSG00000259516	10	1	0
ANP32B	456	574	94
ENSG00000259790	8	0	0
ENSG00000231801	0	0	0
ENSG00000259461	0	0	0
ENSG00000248546	0	0	0
ANP32D	5	0	0
ANP32E	566	404	167
ANPEP	68	2	47
ANTXR1	826	1035	1001
ANTXR2	678	685	227
ANTXRL	0	0	0
ENSG00000263482	0	0	0
ANXA1	2595	4949	889
ANXA10	0	0	0
ANXA11	1935	2821	1043
ANXA13	47	73	26
ANXA2	14327	20897	6988
ENSG00000213406	6	63	2
ENSG00000231991	4	4	2
ENSG00000216740	2	6	1
ANXA2R	16	0	17
ANXA3	181	444	90
ANXA4	736	466	663
ANXA5	1026	3024	537
ANXA6	73	31	4
ANXA7	1240	1072	457
ANXA8	1852	2231	660
ANXA8L1	1344	899	510
ANXA9	0	5	4
AOAH	22	12	19
AOC1	1	2	8
AOC2	1	0	3
AOC3	0	11	0
ENSG00000260105	9	5	7
AOX1	1	0	0
ENSG00000243478	23	40	3
ENSG00000244301	1	0	0
AP1AR	60	186	8
AP1B1	698	206	195
ENSG00000234479	0	0	1
ENSG00000232707	0	0	0
AP1G1	2070	1968	973
AP1G2	1501	1934	689
AP1M1	823	601	599
AP1M2	175	101	13
AP1S1	157	41	84
AP1S2	33	36	22
ENSG00000226046	0	0	0
AP1S3	286	154	121
AP2A1	489	443	270
ENSG00000280759	368	701	187
AP2B1	1329	1498	492
AP2M1	2705	2899	1331
AP2S1	242	443	146
AP3B1	609	198	437
AP3B2	96	97	95
AP3D1	265	212	47
AP3M1	1493	3750	486
AP3M2	332	111	59
AP3S1	103	420	51
AP3S2	544	994	279
AP4B1	92	587	291
AP4E1	250	92	60
AP4M1	176	251	89
AP4S1	352	222	167
AP5B1	107	11	63
AP5M1	810	613	253
AP5S1	502	102	287
AP5Z1	64	303	92
APAF1	280	797	88
ENSG00000276497	27	2	30
ENSG00000276495	30	21	14
APBA3	159	200	105
APBB1	19	7	0
APBB1IP	3	12	6
APBB2	1134	2298	957
APBB3	15	11	4
APC	557	1350	358
APC2	13	12	3
APCDD1	802	516	312
APCDD1L	179	104	155
APCS	0	0	0
APEH	234	54	66
APELA	22	6	8
APEX1	2111	3438	1041
APEX2	529	43	186
APH1A	246	153	113
APH1B	67	212	130
API5	920	1141	236
ENSG00000234558	0	0	0
ENSG00000213962	0	0	0
APIP	132	91	82
APLF	11	4	21
APLN	0	0	0
APLNR	0	0	0
APLP1	13	23	12
APLP2	10839	7716	5100
APMAP	595	1126	276
APOA1	0	0	0
APOA2	0	1	0
